id,name,path,web_path,artist_id
35,1997_1_9_lg.jpg,/Volumes/MOCP_AI/Abbott_B/high-res/1997_1_9_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1997_1_9_lg.jpg,33
36,2003_13_lg.jpg,/Volumes/MOCP_AI/Abbott_B/high-res/2003_13_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2003_13_lg.jpg,33
37,2003_62_lg.jpg,/Volumes/MOCP_AI/Abbott_B/high-res/2003_62_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2003_62_lg.jpg,33
38,1996_224.jpg,/Volumes/MOCP_AI/Abrahamson_M/1996_224.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_224.jpg,34
39,1996_225.jpg,/Volumes/MOCP_AI/Abrahamson_M/1996_225.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_225.jpg,34
40,1996_228.jpg,/Volumes/MOCP_AI/Abrahamson_M/1996_228.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_228.jpg,34
41,1996_229.jpg,/Volumes/MOCP_AI/Abrahamson_M/1996_229.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_229.jpg,34
42,1996_230.jpg,/Volumes/MOCP_AI/Abrahamson_M/1996_230.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_230.jpg,34
43,1996_224_lg.jpg,/Volumes/MOCP_AI/Abrahamson_M/high-res/1996_224_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_224_lg.jpg,34
44,1996_225_lg.jpg,/Volumes/MOCP_AI/Abrahamson_M/high-res/1996_225_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_225_lg.jpg,34
45,1996_228_lg.jpg,/Volumes/MOCP_AI/Abrahamson_M/high-res/1996_228_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_228_lg.jpg,34
46,1996_230_lg.jpg,/Volumes/MOCP_AI/Abrahamson_M/high-res/1996_230_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/1996_230_lg.jpg,34
47,2005_159_a.jpg,/Volumes/MOCP_AI/Abramovic_M/2005_159_a.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2005_159_a.jpg,35
48,2005_159_ab.jpg,/Volumes/MOCP_AI/Abramovic_M/2005_159_ab.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2005_159_ab.jpg,35
49,2005_159_b.jpg,/Volumes/MOCP_AI/Abramovic_M/2005_159_b.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2005_159_b.jpg,35
50,2011_7.jpg,/Volumes/MOCP_AI/Abramovic_M/2011_7.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2011_7.jpg,35
51,2011_8.jpg,/Volumes/MOCP_AI/Abramovic_M/2011_8.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2011_8.jpg,35
52,2005_159_a_lg.jpg,/Volumes/MOCP_AI/Abramovic_M/high-res/2005_159_a_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2005_159_a_lg.jpg,35
53,2005_159_b_lg.jpg,/Volumes/MOCP_AI/Abramovic_M/high-res/2005_159_b_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2005_159_b_lg.jpg,35
54,2011_7_lg.jpg,/Volumes/MOCP_AI/Abramovic_M/high-res/2011_7_lg.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2011_7_lg.jpg,35
55,2015_68.jpg,/Volumes/MOCP_AI/Abramson_M/2015_68.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2015_68.jpg,36
56,2015_69.jpg,/Volumes/MOCP_AI/Abramson_M/2015_69.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2015_69.jpg,36
57,2015_70.jpg,/Volumes/MOCP_AI/Abramson_M/2015_70.jpg,https://storage.googleapis.com/mocp_images/MOCP_IMAGES/2015_70.jpg,36
